工作岗位,公司名称,公司规模,公司行业,融资阶段,公司福利,工资阶段,工作经验,学历要求,工作地点
数据分析师实习生,云表汇通,15-50人,"数据服务,人工智能",A轮,,3k-6k,应届毕业生,不限,杭州
金融数据分析师,北京盛业联众资产管理集团有限公司,50-150人,金融,未融资,,10k-15k,3-5年,本科,北京
数据分析专家,茉莉传媒,150-500人,广告营销,不需要融资,"股票期权,弹性工作,简单直接,岗位晋升",10k-15k,3-5年,本科,广州
高级/资深数据分析师,易观,150-500人,"移动互联网,数据服务",B轮,"专项奖金,午餐补助,技能培训,扁平管理",25k-50k,5-10年,本科,北京
数据分析,海万科技,500-2000人,"移动互联网,金融",不需要融资,,10k-18k,3-5年,本科,上海
数据分析,慧择信息集团,500-2000人,"移动互联网,企业服务",不需要融资,"年底双薪,股票期权,绩效奖金,专项奖金",8k-15k,1-3年,本科,深圳
数据分析,广东联通通信建设有限公司,150-500人,其他,上市公司,"技能培训,年底双薪,带薪年假,绩效奖金",5k-8k,不限,不限,韶关
大数据开发工程师,盛业资本,150-500人,"金融,数据服务",上市公司,,15k-25k,3-5年,本科,深圳
高级数据分析师,Goat Games,50-150人,游戏,上市公司,"午餐补助,年终奖,绩效奖金,年度旅游",15k-25k,3-5年,本科,广州
数据分析师,哈啰出行,2000人以上,"移动互联网,硬件",D轮及以上,"绩效奖金,年底双薪,股票期权,交通补助",15k-25k,3-5年,本科,上海
数据分析,立创商城,150-500人,"电商,硬件",A轮,"节日礼物,五险一金,水果、下午茶,带薪年假",10k-18k,1-3年,大专,深圳
数据分析师,蓝月亮,2000人以上,消费生活,不需要融资,"五险一金,带薪年假,免费班车,定期体检",8k-16k,不限,本科,广州
数据分析师（挖掘方向）,吉比特,500-2000人,游戏,上市公司,"上市游戏公司,六险一金,住房补贴,旅游经费",15k-25k,3-5年,本科,深圳
数据分析师,iPIN.com,50-150人,数据服务,C轮,"发展迅猛,领导好,学习型文化,平等的氛围",15k-30k,3-5年,硕士,深圳
业务数据分析师,西安超斯塔科技有限公司,150-500人,"移动互联网,广告营销",上市公司,,3k-5k,不限,本科,西安
数据分析师,中视信息,15-50人,"数据服务,软件开发",不需要融资,,10k-20k,3-5年,大专,广州
大数据开发工程师,生学教育,150-500人,"移动互联网,教育",A轮,"节日礼物,专项奖金,股票期权,带薪年假",10k-20k,1-3年,本科,成都
高级数据分析师,绿湾科技,150-500人,"企业服务,数据服务",B轮,"期权激励,住房补贴,全额公积金,弹性工作",20k-35k,3-5年,不限,北京
大数据开发工程师,中交智运,2000人以上,"移动互联网,物流丨运输",不需要融资,,15k-20k,3-5年,本科,天津
大数据开发工程师,卡拉卡尔,150-500人,"数据服务,文娱丨内容",不需要融资,"技能培训,节日礼物,带薪年假,绩效奖金",10k-15k,3-5年,本科,成都
